data_venda,cliente_id,produto_id,produto_nome,categoria,quantidade,valor_unitario,valor_total,nps_score
2024-10-05,1099,P102,Colar Ouro Branco com Rubi,Colares,1,3400.00,3400.00,9
2024-10-08,1100,P103,Pulseira Ouro 18k com Safira,Pulseiras,1,3600.00,3600.00,9
2024-10-10,1001,P104,Relógio Esportivo Premium,Relógios,1,2900.00,2900.00,8
2024-10-12,1101,P105,Aliança Ouro Rosa Premium,Alianças,2,2600.00,5200.00,9
2024-10-15,1102,P106,Anel Prata com Citrino,Anéis,1,920.00,920.00,7
2024-10-18,1103,P107,Brincos Ouro Branco com Diamantes,Brincos,1,2700.00,2700.00,9
2024-10-20,1104,P108,Colar Prata com Topázio,Colares,1,2500.00,2500.00,8
2024-10-22,1105,P109,Pulseira Prata com Rubi,Pulseiras,1,1400.00,1400.00,8
2024-10-25,1106,P110,Relógio de Ouro Premium,Relógios,1,5300.00,5300.00,10
2024-10-28,1107,P111,Anel Ouro com Safira,Anéis,1,2300.00,2300.00,8
2024-11-02,1108,P112,Brincos Prata com Esmeralda,Brincos,1,1500.00,1500.00,8
2024-11-05,1109,P113,Colar Ouro Amarelo com Diamantes,Colares,1,4800.00,4800.00,10
2024-11-08,1110,P114,Pulseira Ouro 14k com Rubi,Pulseiras,1,2000.00,2000.00,8
2024-11-10,1111,P115,Relógio Executivo de Luxo,Relógios,1,4600.00,4600.00,10
2024-11-12,1112,P116,Aliança Ouro Branco com Diamantes,Alianças,2,3200.00,6400.00,10
2024-11-15,1113,P117,Anel Prata com Ametista,Anéis,1,1000.00,1000.00,7
2024-11-18,1114,P118,Brincos Ouro Rosa com Safira,Brincos,1,2200.00,2200.00,9
2024-11-20,1115,P119,Colar Pérolas com Diamantes,Colares,1,3900.00,3900.00,9
2024-11-22,1116,P120,Pulseira Prata com Topázio,Pulseiras,1,1500.00,1500.00,8
2024-11-25,1117,P121,Relógio Clássico Premium,Relógios,1,4200.00,4200.00,9
2024-11-28,1118,P122,Anel Ouro com Rubi,Anéis,1,2500.00,2500.00,9
2024-12-02,1119,P123,Brincos Prata com Zircônia,Brincos,1,1150.00,1150.00,7
2024-12-05,1120,P124,Colar Ouro Rosa com Esmeralda,Colares,1,3600.00,3600.00,9
2024-12-08,1121,P125,Pulseira Ouro 18k com Topázio,Pulseiras,1,3900.00,3900.00,9
2024-12-10,1122,P126,Relógio Esportivo de Ouro,Relógios,1,3400.00,3400.00,9
2024-12-12,1123,P127,Aliança Prata com Diamantes,Alianças,2,2200.00,4400.00,8
2024-12-15,1124,P128,Anel Prata com Rubi,Anéis,1,1100.00,1100.00,7
2024-12-18,1125,P129,Brincos Ouro Branco com Pérolas,Brincos,1,2400.00,2400.00,9
2024-12-20,1126,P130,Colar Prata com Safira,Colares,1,2800.00,2800.00,9
2024-12-22,1127,P131,Pulseira Prata com Esmeralda,Pulseiras,1,1600.00,1600.00,8
2024-12-25,1128,P132,Relógio Premium Executivo,Relógios,1,4900.00,4900.00,10
2024-12-28,1129,P133,Anel Ouro com Diamante Premium,Anéis,1,6200.00,6200.00,10
2024-12-30,1130,P134,Brincos Prata com Ametista,Brincos,1,1300.00,1300.00,8
